UserId,GuideSession,GuideDownload,ConnectionRequested,PhotoUpload
1703,21.0,1.0,2.0,7.0
2058,34.0,2.0,2.0,7.0
1381,35.0,1.0,2.0,7.0
1822,21.0,1.0,2.0,7.0
2135,44.0,1.0,2.0,7.0
537,20.0,1.0,2.0,5.0
1211,31.0,1.0,2.0,7.0
1050,23.0,1.0,2.0,7.0
851,14.0,2.0,2.0,7.0
8,22.0,1.0,10.0,18.0
741,20.0,1.0,2.0,7.0
193,16.0,2.0,3.0,17.0
2070,11.0,2.0,2.0,7.0
1543,24.0,1.0,2.0,7.0
2022,55.0,1.0,2.0,7.0
1300,14.0,1.0,2.0,7.0
54,18.0,1.0,2.0,19.0
209,16.0,1.0,5.0,9.0
1070,26.0,1.0,2.0,7.0
1698,21.0,2.0,2.0,7.0
1389,25.0,1.0,2.0,7.0
2203,24.0,1.0,2.0,7.0
1448,23.0,1.0,2.0,7.0
959,25.0,1.0,2.0,7.0
1967,37.0,1.0,2.0,7.0
894,21.0,1.0,2.0,7.0
489,9.0,1.0,1.0,2.0
1083,18.0,1.0,2.0,7.0
90,20.0,2.0,1.0,18.0
1140,21.0,1.0,2.0,7.0
886,16.0,1.0,2.0,7.0
715,28.0,2.0,2.0,7.0
1433,26.0,2.0,2.0,7.0
1667,25.0,1.0,2.0,7.0
52,13.0,3.0,1.0,20.0
286,19.0,1.0,1.0,7.0
2329,44.0,1.0,2.0,7.0
326,21.0,1.0,1.0,4.0
2481,28.0,1.0,2.0,7.0
1106,27.0,1.0,2.0,7.0
219,18.0,2.0,3.0,10.0
1831,21.0,1.0,2.0,7.0
623,19.0,2.0,2.0,13.0
2365,7.0,1.0,2.0,7.0
2467,19.0,1.0,2.0,7.0
60,20.0,1.0,1.0,19.0
1420,25.0,1.0,2.0,7.0
672,19.0,1.0,2.0,2.0
2218,84.0,1.0,2.0,7.0
1340,23.0,1.0,2.0,7.0
1321,15.0,4.0,2.0,7.0
26,18.0,2.0,3.0,17.0
864,20.0,6.0,2.0,7.0
22,27.0,5.0,1.0,20.0
1139,29.0,1.0,2.0,7.0
